id,lat,lon,name,building,addr:street,addr:housenumber,addr:postcode
36630247,49.7952763,9.7305406,Rathaus-Apotheke,,Würzburger Straße,6,97292
64947383,49.7938295,9.9233307,Hofapotheke zum Löwen,,Zeller Straße,18,97082
265532934,49.8025065,9.943981,Stern-Apotheke,,Brücknerstraße,9a,97080
281270246,49.7648359,9.9484276,St.-Georgs-Apotheke,,Wenzelstraße,7,97084
281270247,49.7643533,9.9501111,Kloster-Apotheke,,Klosterstraße,9,97084
287237628,49.7590057,9.8303251,Riemenschneiderapotheke,,,,
287407602,49.6001927,9.8803771,Marienapotheke,,Marktplatz,9,
290744523,49.7934424,9.9304707,Kronen-Apotheke,,Domstraße,21,97070
290744526,49.7945924,9.9305834,Engel-Apotheke,,Marktplatz,36,97070
290744550,49.7921261,9.9454921,Luitpold-Apotheke,,Rottendorfer Straße,4,97072
293534263,49.7945337,9.9039807,Elisabeth-Apotheke,,,,97082
297738077,49.8118478,9.9767277,Neue Apotheke Lengfeld,,Industriestraße,7,97076
299078049,49.7411267,9.8419572,Am Rosengarten,,,,
299089854,49.7940635,9.9294689,Markt-Apotheke,,Marktplatz,12,97070
304429136,49.6644508,10.0648569,Stadt-Apotheke,,Hauptstraße,40,97199
305979830,49.7837065,9.8799325,Bavaria-Apotheke,,Hauptstraße,34,97204
309170823,49.8020373,9.9439973,Grombühl-Apotheke,,Brücknerstraße,3,97080
312929571,49.8018082,9.954446,Mathilden-Apotheke,,Robert-Koch-Straße,34-36,97080
338400580,49.8565041,9.9566804,Rats-Apotheke,,Niederhoferstraße,7,97222
345724525,49.8292676,9.8958941,Nikolaus-Apotheke,,,,
347322314,49.832628,9.8725591,Falken-Apotheke,,Kirchstraße,30,97209
354490479,49.5110402,9.9712902,Tauber-Apotheke,,Rothenburger Straße,1,97285
355258656,49.7947852,9.9124842,Storchen-Apotheke,,Frankfurter Straße,26,97082
360926004,49.8201444,9.9623258,Tännig-Apotheke,,Versbacher Straße,176,97078
371383299,49.7472254,9.9574474,Heuchelhof-Apotheke,,Place de Caen,5,97084
382367292,49.8008472,9.9538877,D2 Apotheke Uni-Klinik,,,,
429345688,49.7806051,9.9359253,Anker-Apotheke,,Friedrich-Spee-Straße,11,97072
429347330,49.7894608,9.9303892,St.-Kilian-Apotheke,,Sanderstraße,3,97070
445057690,49.7962047,9.9271365,Hirsch-Apotheke,,Juliuspromenade,2,97070
453136831,49.7048616,10.0245509,Schloss-Apotheke,,Hauptstraße,28,97286
493871554,49.6652315,10.0596153,Klingentor-Apotheke,,Tückelhäuser Straße,9,97199
493880172,49.6641552,10.0649173,Rats-Apotheke,,Hauptstraße,31,97199
560028045,49.7839669,9.9352037,Adalbero-Apotheke,,Neubergstraße,2,97072
634356034,49.8163757,9.9636102,St.-Rochus-Apotheke,,Versbacher Straße,108,97078
648990519,49.7953076,9.9356581,Theater-Apotheke,,Ludwigstraße,1,97070
661137646,49.7785215,9.9830187,Rats-Apotheke,,Hauptstraße,36,97218
677595346,49.7747527,9.9571477,Sonnen-Apotheke,,Hans-Löffler-Straße,8,97074
731596947,49.7972252,9.9318006,vitasano apotheke,,,,
